,Defect,Reason,Method
3982,"При включении выключателя ПСН блока выключателей S20, ПСН не запускается.","Сработал АЗВ SF25,24 ПСН или АЗВ SF72.74 аппаратов цепи управления.","Осмотреть положение автоматов на блоке N 2 и на щите помощника машиниста. Если автоматы отключены произвести повторное включение. В случае, если не запускается ПСН одной из секций, перейти на питание от другой секции путем переключения рубильника аккумуляторной батареи SA1, SA4 в аварийной секции."
3981,"При включении выключателя ПСН блока выключателей S20, ПСН не запускается.","Цепи управления и тяговые двигатели будут работать от питания одного исправного ПСН, управление движением осуществлять только в ручном режиме.",11
3980,"При включении выключателя ПСН блока выключателей S20, ПСН не запускается.","При работе электровоза загораются индикаторы ""ПСН"", ""БВ"" на блоке индикации А78.","Сработали АЗВ SF19. SF24 на блоке N 2 или АЗВ SF72 (SF74) ""аппаратов цепей управления""."
3979,"При включении выключателя ПСН блока выключателей S20, ПСН не запускается.","Произвести визуальный осмотр аппаратуры, при отсутствии неисправности, восстановить автоматы. При повторном отключении автоматов перевести на работу аппаратуры от исправного ПСН.",12
3978,"При включении выключателя ПСН блока выключателей S20, ПСН не запускается.","При постановки 1-ой позиции, отключает быстродействующий выключатель QF1, дисплей МСУД выдает информацию: ""Не готов блок А5, перегрузка секции"", на блоке индикации А78 горит лампа БВ.",Короткое замыкание в силовой цепи.
3977,"При включении выключателя ПСН блока выключателей S20, ПСН не запускается.","Рукоятку контроллера поставить в положение ""0"", проверить положение указателя ""Реле перегрузок ТД"".","Блок N 1 в ВВК ""КА11 реле перегрузки 1-2 ТЭД), блок N 8 в ВВК (КА 21 реле перегрузки 3-4 ТЭД)."
3976,"При включении выключателя ПСН блока выключателей S20, ПСН не запускается.","Через архив сообщений, убедиться в какой секции неисправность, при возможности следования на одной секции, отключить неисправную секцию на пульте помощника машиниста.","При отсутствии возможности следования на одной секции, методом поочередного отключения-включения тяговых двигателей тумблерами S55-S58 на блоке N 2 определить неисправную группу тяговых двигателей. Если неисправность таким образом не удалось устранить и защита срабатывает повторно, то методом поочередного отключения-включения пусковых сопротивлений тумблерами S63-S66 определить неисправную группу пусковых сопротивлений. При повторном срабатывании защиты следовать на исправной секции."
3975,"При срабатывании БВ1, после повторного включения, работа БВ1 не включается, на МСУД высвечивается информация ""Отказ QF-11(QF-21)"", горит сигнальная лампа БК на блоке индикации А78.",Не включились контактора QF11 (QF-21).,"Через архив сообщений, убедиться в какой секции неисправность, при возможности следования на одной секции, отключить неисправную секцию на пульте помощника машиниста."
3974,"При срабатывании БВ1, после повторного включения, работа БВ1 не включается, на МСУД высвечивается информация ""Отказ QF-11(QF-21)"", горит сигнальная лампа БК на блоке индикации А78.","В случае появления на дисплее МСУД информации ""отказ QF-11 секции N 1"", необходимо на блоке N 2 в коридоре на ходу отключить тумблер S55 (Отключение 1-2 ТЭД), движение будет осуществляться на 6 ТЭД на С соединении, 4 ТЭД на СП соединении, 6 ТЭД на П соединении.","Если выдаётся отказ QF-21, секции N 2, необходимо на блоке N 2 в коридоре, на ходу отключить тумблер S56 (отключение 3-4 ТЭД), движение будет осуществляться аналогично вышеуказанному."
3973,"При срабатывании БВ1, после повторного включения, работа БВ1 не включается, на МСУД высвечивается информация ""Отказ QF-11(QF-21)"", горит сигнальная лампа БК на блоке индикации А78.","Если выдаётся отказ QF-21, секции N 2, необходимо на блоке N 2 в коридоре, на ходу отключить тумблер S57 (Отключение 5-6 ТЭД), движение будет осуществляться аналогично вышеуказанному.","Если выдаётся отказ QF-11, секции N 2, необходимо на блоке N 2 в коридоре, на ходу отключить тумблер S58 (Отключение 7-8 ТЭД), движение будет осуществляться аналогично вышеуказанному."
3972,"При включении выключателя ""Вентиляторы"" блока выключателей S20 не запускаются электродвигатели М5, М7 вентиляторов.","Не включились пускатели КМ68, КМ69.","По показаниям блока индикации МСУД определить неисправный вентилятор и произвести отключение на блоке N 2 тумблером S11 - S12 с одновременным отключением пары тяговых двигателей, охлаждаемых данным вентилятором. Движение будет осуществляться на 6 ТЭД на С соединении, 4 ТЭД на СП соединении, 6 ТЭД на П соединении. При возможности следования на одной секции отключить неисправную секцию на щитке помощника машиниста."
3971,"При включении выключателя ""Вентиляторы"" блока выключателей S20 не запускаются электродвигатели М5, М7 вентиляторов.","Сработали тепловые реле пускателей КМ68, КМ69 в цепи электродвигателя соответствующего вентилятора.","Включить пускатели после кратковременного включения выключателя ВОЗВРАТ ЗАЩИТЫ. Если произойдет повторное срабатывание реле, то отключить электродвигатель вентилятора с помощью соответствующего тумблера."
3970,"При пуске электродвигателей М5, М7 вентиляторов не гаснут индикаторы ВМ (или загораются при работе электродвигателей.",Сработал АЗВ SF20 из-за к.з. в цепи провода H020.,"Осмотреть положение автоматов на блоке N 2 и элементов цепей управления вентиляторами на наличие неисправности. Если автоматы отключены и неисправности при визуальном осмотре не выявлено произвести повторное включение автоматов на блоке N 2 и повторить операцию. При повторном срабатывании автоматов защиты на блоке N 2, выявить и отключить неисправный вентилятор и соответствующие тяговые электродвигатели."
3969,"При пуске электродвигателей М5, М7 вентиляторов не гаснут индикаторы ВМ (или загораются при работе электродвигателей.",Сработал АЗВ SF24 из-за к.з. в цепи провода Н024.,
3968,"При пуске электродвигателей М5, М7 вентиляторов не гаснут индикаторы ВМ (или загораются при работе электродвигателей.",Сработал АЗВ SF72 (SF74) из-за к.з. в цепи провода H56 (H58).,
3967,"При включении выключателя ""Возбудители"" блока выключателей S20 не включаются контакторы КМ23, КМ43.","Вышли из строя предохранители F1, F2 в блоках U15, U25.Нет импульсов управления на управляющих переходах тиристоров VS блоков U15, U25.","Заменить предохранители. Если при повторном включении возбудителей неисправность повторяется, отключить выключатель возбудителей на блоке S20 и продолжить движение на последовательном возбуждении тяговых двигателей в ручном режиме. Без применения электрического торможения."
3966,"При включении выключателя ""Возбудители"" блока выключателей S20 не включаются контакторы КМ23, КМ43.",Неисправности цепи управления в режиме электрического торможения,17
3965,"При включении выключателя ""Возбудители"" блока выключателей S20 не включаются контакторы КМ23, КМ43.",Отключение линейных (реостатных) контакторов в режиме электрического торможения.,"Сработал АЗВ SF24 из-за к.з. в цепях управления контакторами КМ55, КМ75, КМ77 (КМ78) или АЗВ SF71 (SF73) АППАРАТУРА 1-1 (АППАРАТУРА 1-2) из-за к.з. в цепи провода Н55 (Н57)."
3964,"При включении выключателя ""Возбудители"" блока выключателей S20 не включаются контакторы КМ23, КМ43.",Произвести повторное включение автоматов и следовать без применения электрического торможения.,
3963,"При включении выключателя ""Возбудители"" блока выключателей S20 не включаются контакторы КМ23, КМ43.",,"Обрыв какого-либо из проводов Н024, Н55 (Н57)."
3962,"При включении выключателя ""Возбудители"" блока выключателей S20 не включаются контакторы КМ23, КМ43.",,Не включился контактор КМ77 (КМ78).
3961,"При включении выключателя ""Возбудители"" блока выключателей S20 не включаются контакторы КМ23, КМ43.",,Неисправности цепи управления в режиме тяги
3960,При работе электровоза в режиме тяги на блоке индикацииА78. загорается индикатор БК.,Сработало реле дифференциальной защиты КА1.,Произвести повторное включение реле. путем кратковременного включения выключателя ВОЗВРАТ ЗАЩИТЫ. При повторном срабатывании отключить неисправную секцию на щитке помощника машиниста.
3959,При работе электровоза в режиме тяги на блоке индикацииА78. загорается индикатор БК.,При работе электровоза в системе ручного регулирования,19
3958,При работе электровоза в режиме тяги на блоке индикацииА78. загорается индикатор БК.,При перемещении рукоятки главного вала контроллера машиниста в рабочее положение ток в цепи тяговых двигателей отсутствует.,"Неисправен микроконтроллер МПК1 (МПК2) блоков управления А55, А56 секции 1 или секции 2."
3957,При работе электровоза в режиме тяги на блоке индикацииА78. загорается индикатор БК.,Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) исправной секции.,20
3956,При работе электровоза в режиме тяги на блоке индикацииА78. загорается индикатор БК.,В режиме тяги возникают броски тока и срабатывают быстродействующие выключатели.,"Неисправен микроконтроллер МПК1 (МПК2) блоков управления А55, А56 секции 1 или секции 2."
3955,При работе электровоза в режиме тяги на блоке индикацииА78. загорается индикатор БК.,Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) исправной секции.,При работе электровоза в системе автоматического регулирования
3954,При задании тока тяговых двигателей в режиме тяги ток не появляется.,"Неисправен микроконтроллер МПК1 (МПК2) блоков управления А55, А56 секции 1 или секции 2.",Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) данной секции.
3953,При задании тормозной силы в режиме электрического торможения токи якоря и возбуждения тяговых двигателей не появляются.,"Неисправен микроконтроллер МПК1 (МПК2) блоков управления А55, А56 секции 1 или секции 2.",Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) данной секции
3952,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,"Неисправен микроконтроллер МПК1 (МПК2) блоков управления А55, А56 секции 1 или секции 2.",Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) данной секции.
3951,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,При работе электровоза в системе автоведения,24.
3950,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,Не собирается силовая схема электрического торможения по команде МПСУ.,Неисправен МПК1 (МПК2) секции 1 или секции 2.
3949,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,Тумблером S33 или S34 переключить аппаратуру МПСУ на работу от микроконтроллера МПК2 (МПК1) данной секции.,"Примечание: при срабатывании теплового реле в цепи электродвигателей вентиляторов, компрессора допускается однократное повторное включение, при срабатывании аппарата защиты QF1 (ВБТ) допускается двукратное повторное включение указанного аппарата. Последующее включение аппарата защиты без выяснения и устранения причины запрещено."
3948,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,,Приложение N 9
3947,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,к Перечню действий локомотивных,бригад по выявлению и устранению
3946,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,неисправностей на локомотивах,при поездной и маневровой работе
3945,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,,"Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах 2ЭС5К, 3ЭС5К"
3944,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,,N
3943,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,Неисправность,Возможная причина
3942,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,Способ устранения,1
3941,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,При проследовании нейтральной вставки теряют питание цепи управления
3940,При работе электровоза в режиме электрического торможения возникают броски тока и срабатывают быстродействующие выключатели.,Сгорела вставка предохранителя аккумуляторной батареи F1 или F2 по причине КЗ в цепях аккумуляторной батареи.,"На РЩ неисправной секции батарею отключить рубильником SA2, рубильник цепей управления SA1 перевести в положение ""Аварийно""."
3939,Не поднимаются токоприемник секции 1 или токоприемник секции 2,Напряжение в ЦУ головной секции ниже 35В,"Перевести рубильник цепей управления SA1 на РЩ головной секции в положение ""Аварийно""."
3938,Не поднимаются токоприемник секции 1 или токоприемник секции 2,Не вышли блокировки штор ВВК в одной секции.,"В неисправной секции шторы ВВК замкнуть ключами ФШ, ключи вставить в блокировочное устройство SQ5 и перевести его рукоятку в положение ""Реле давления зашунтировано"". Поднять токоприемник исправной секции."
3937,Не поднимаются токоприемник секции 1 или токоприемник секции 2,Не правильно собрана схема резервирования (на электровозе 2ЭС5К).,"В неисправной секции отключить QS6 и включить QS28 в обеих секциях. (Нормальное положение: в обеих секциях QS6 включены, QS28 отключены)"
3936,Не поднимаются токоприемник секции 1 или токоприемник секции 2,"Не правильно собрана схема резервирования (на секциях Б, В электровоза 3ЭС5К).","В неисправной секции отключить QS6 и включить QS28 в секциях Б и В. (Нормальное положение: в обеих секциях QS6 включены, QS28 отключены)"
3935,Не поднимаются токоприемник секции 1 или токоприемник секции 2,"Не правильно собрана схема резервирования (на секциях А, Б электровоза 3ЭС5К).","В неисправной секции отключить QS6 и включить QS28 в секции А и QS27 в секции Б. (Нормальное положение: в обеих секциях QS6 включены, QS28 в секции А и QS27 в секции Б отключены.)"
3934,Не поднимаются токоприемник секции 1 или токоприемник секции 2,Включен рубильник QS5.,Отключить все рубильники QS5 на блоках А11-А12
3933,Не поднимаются токоприемник секции 1 или токоприемник секции 2,Отключен автомат SF21.,Проверить включение автомата SF21 (восстановить).
3932,Не поднимаются токоприемник секции 1 или токоприемник секции 2,"Низкое давление воздуха в ЦУ (менее 2,5 кгс/см2).",Повысить давление в ЦУ.
3931,Не поднимаются токоприемник секции 1 или токоприемник секции 2,Не включены реле KV44.,Проверить включение реле KV44.
3930,Не включается ГВ обеих секций,Низкое давление в резервуарах ГВ (менее 6 атм.).,Повысить давление воздуха в резервуарах ГВ вспомогательным компрессором (не менее 6 атм.)
3929,Не включается ГВ обеих секций,Напряжение в ЦУ головной секции ниже 35В.,"Перевести рубильник цепей управления SA1 на РЩ головной секции в положение ""Аварийно""."
3928,Не включается ГВ обеих секций,"Выключены тумблеры S61, S62, S63, ""Отключение секции"".","Включить тумблеры S61, S62, S63, ""Отключение секции""."
3927,Не включается ГВ обеих секций,"Отключены автоматов SF22 ""ГВ"", SF23 ""Тяга"".","Проверить включение автоматов SF22 ""ГВ"", SF23 ""Тяга""."
3926,Не включается ГВ обеих секций,"Не включена кнопка ""Цепи управления"".","Включить кнопку ""Цепи управления""."
3925,Не включается ГВ обеих секций,"Не включена блокировка тормозов, не горят сигнальные лампы на пульте сигнализации.",Включить блокировку тормозов.
3924,Не включается ГВ обеих секций,"РУ контролера машиниста в положении ""НР"", не включены реле KV21 - KV22.","РУ контролера машиниста установить в положении ""0"", проверить включение реле KV21 - KV22."
3923,Не включается ГВ обеих секций,"Не поднят токоприемник, не включено реле KV44.",Проверить включение реле KV44.
3922,Не включается ГВ одной секции,Не включается реле KV43 в неисправной секции.,"Включить ГВ, нажав рукой на, 2-3 сек. на якорь KV43"
3921,Не включается ГВ одной секции,Обрыв цепи включающей катушки ГВ QF1-УА1.,Следовать на оставшихся в работе секциях.
3920,Не включается ГВ одной секции,Низкое давление в резервуаре ГВ неисправной секции.,Повысить давление в ГВ вспомогательным компрессором.
3919,Не включается ГВ одной секции,Напряжение в ЦУ головной секции ниже 35В.,Перевести рубильник цепей управления
3918,Не включается ГВ одной секции,"SA1 на РЩ головной секции в положение ""Аварийно"".",
3917,Не включается ГВ одной секции,,Не включено реле KV44 на неисправной секции.
3916,Не включается ГВ одной секции,Проверить включение реле KV44.,5
3915,Не включается ГВ одной секции,ГВ одной секции включается и вновь отключается,"Срабатывает защита ВИП U1 (КА1, или КА2, или КА3)."
3914,Не включается ГВ одной секции,Отключить неисправный ВИП рубильником QS3,
3913,Не включается ГВ одной секции,,"Срабатывает защита ВИП U2 (КА4, или КА5, или КА6)."
3912,Не включается ГВ одной секции,Отключить неисправный ВИП рубильником QS4,
3911,Не включается ГВ одной секции,,"Срабатывает РЗ в положении контроллера ""П"" или ""0""."
3910,Не включается ГВ одной секции,"Поочерёдным отключением рубильников QS7 на блоках А11, А12, найти неисправный блок. В неисправном блоке определить неисправный ТЭД отключением QS11 и QS12 (При этом рубильник QS7 должен быть включен). Если при отключенных QS11 и QS12 РЗ продолжает срабатывать, отключить рубильник QS7 и ВИП неисправного блока (рубильником QS3 или QS4). Далее следовать с учетом, оставшихся в работе ТЭД.",
3909,Не включается ГВ одной секции,,Срабатывает защита ВУВ КА8.
3908,Не включается ГВ одной секции,Отключить ВУВ ножом QS15,
3907,Не включается ГВ одной секции,ГВ одной секции включается и вновь отключается,Срабатывает РМТ.
3906,Не включается ГВ одной секции,"Отключить неисправную секцию переключателем SA5 с помощью тумблера ""Отключение секции"" (S61, или S62, или S63). Следовать с учетом оставшихся в работе секций.",
3905,Не включается ГВ одной секции,,Срабатывает защита обмотки собственных нужд КА9 из-за приваривания силовых контактов контактора одной из вспомогательных машин.
3904,Не включается ГВ одной секции,"Визуально определить приварившийся контактор, разъеденить силовые контакты, отключить неисправную вспомогательную машину на ЩПР и продолжить движение на оставшейся мощности локомотива.",6
3903,Не включается ГВ одной секции,"Отключается автомат SF22 при включении на пульте кнопки ""Главный выключатель""",КЗ в цепи удерживающей катушки ГВ QF1-УА2.
3902,Не включается ГВ одной секции,"Отключить все секции переключателями SA5 с помощью тумблеров ""Отключение секции"" S61, S62, S63. Восстановить автомат SF22. Включить на пульте кнопку ""Главный выключатель"" и поочередно включая секции определить неисправную секцию и отключить её. Следовать с учетом оставшихся в работе секций.",7
3901,Не включается ГВ одной секции,"Не включаются БВ QF11, QF12 одной секции.",Сгорела вставка предохранителя F37.
3900,Не включается ГВ одной секции,"Заменить предохранитель. При повторном перегорании вставки F37, следовать с учетом, оставшихся в работе секций.",8
3899,Не включается ГВ одной секции,"Не включаются БВ QF11, QF12 одной группы.","Неисправность цепи удерживающих или включающих катушек БВ QF11, QF12"
3898,Не включается ГВ одной секции,Далее следовать с учетом оставшихся в работе ТЭД.,9
3897,Не включается ГВ одной секции,Не включается один БВ,"Неисправность цепи удерживающей или включающей катушек БВ QF11, или QF12"
3896,Не включается ГВ одной секции,,10
3895,Не включается ГВ одной секции,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.",При переводе в зоны регулирования отпадают БВ одной секций
3894,Не включается ГВ одной секции,"Неисправность цепи контакторов КМ41, КМ42.",Далее следовать с учетом оставшихся в работе ТЭД.
3893,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.",При переводе в зоны регулирования отпадают БВ одной группы.,"Не включился один из контакторов КМ41, или КМ42."
3892,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.",Далее следовать с учетом оставшихся в работе ТЭД.,
3891,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.",,"Неисправность блокировок контакторов КМ41, или КМ42."
3890,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.",,12
3889,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.",Тормозные переключатели QT1 всех секций не переводятся в режим тяги.,Отсутствует питание в проводе Э6 при переходе в режим тяга.
3888,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.","Перевести тормозные переключатели QT1 в режим ""Тяга"" вручную.",13
3887,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.",Тормозные переключатели QT1 одной секции не переводятся в режим тяги.,Не поступает питание на провод Н36.
3886,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.","Перевести тормозные переключатели QT1 в режим ""Тяга"" вручную.",14
3885,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.",Тормозной переключатель QT1 второй группы не переводится в режим тяги.,"Механическое заедание, обрыв цепи провода Н37 или неисправность вентиля ""тяга""."
3884,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.","Перевести тормозной переключатель QT1 блока А12 в режим ""Тяга"" вручную.",15
3883,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.","При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",В зонах регулирования нет нагрузки на одной секции.
3882,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.",Неисправность МПК1 (МПК2) в неисправной секции,Переключиться на другой МПК
3881,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.",Сгорела вставка предохранителя F17,"Заменить предохранитель. При повторном перегорании вставки F17, следовать с учетом, оставшихся в работе секций."
3880,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",В зонах регулирования нет нагрузки на одной группе.,"Сгорела вставка предохранителя ""Сеть"" в блоке питания ВИП А73 или А74"
3879,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.","Заменить предохранитель ""сеть"" в неисправном блоке, при повторном перегорании вставки, следовать с учетом оставшихся в работе ТЭД.",17
3878,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.","Не работает дисплей МСУД При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет, нагрузка по амперметру ""якорь"" есть.","Отключен автомат SF45 ""МСУД"""
3877,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.","Включить автомат SF45. При повторном отключении SF45, следовать далее до основного или оборотного депо, контролируя нагрузку по амперметру ""Якорь 1"".",18
3876,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",Не хватает производительности компрессора (на электровозе 2ЭС5К),Отключена неисправная секция.
3875,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.","В неисправной секции рубильник Q6 перевести в среднее положение, и включить рубильники QS28 в обеих секциях.",19
3874,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",Не хватает производительности компрессоров (на электровозе 3ЭС5К),Отключена неисправная секция (А или Б).
3873,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.","В неисправной секции рубильник Q6 перевести в среднее положение. На секции А включить рубильник QS28, а на секции Б рубильник QS27.",
3872,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",,Отключена неисправная секция (Б или В).
3871,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.","В неисправной секции рубильник Q6 перевести в среднее положение, и включить рубильники QS28 в обеих секциях.",20
3870,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",Не запускаются вспомогательные машины в ведомой секции.,Не включен автомат SF25.
3869,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",Восстановить автомат SF25.,21
3868,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",Не запускается компрессоры всех секций.,Сработали ТРТ.
3867,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",Восстановить ТРТ.,
3866,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",,Неисправен регулятор давления.
3865,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.","Управлять работой компрессоров кнопкой S9 ""Компрессор"" на пульте машиниста.",
3864,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",,"Не включен автомат SF27 ""Компрессор""."
3863,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.","Востановить работу автомата SF27 ""Компрессор"".",22
3862,"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.",Не запускается компрессор одной секции.,Сработали ТРТ КК14
